l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se
143.0,91253592.0,9327.0,313.0,4.767,4.789700000000001,0.25672977389202867,0.24275148185589177
144.0,56484541.0,43413.0,276.0,2.7467,2.9283,0.36883150041885987,0.24554369784143365
145.0,63970236.0,79738.0,442.0,3.4050000000000002,3.5185000000000004,0.36223096299956214,0.2421488911817868
146.0,13807205.0,5349.0,475.0,5.4026000000000005,5.5842,0.3493789862063899,0.24891560810925673
147.0,72478546.0,94464.0,138.0,3.1780000000000004,3.2461,0.30927282127674743,0.23923365374125743
148.0,19930972.0,76062.0,407.0,3.7001000000000004,3.7682,0.3145714198315664,0.24744681072297392
149.0,71513506.0,93610.0,246.0,4.835100000000001,4.994000000000001,0.3645343600944447,0.23760077965146806
150.0,28040563.0,40579.0,262.0,5.152900000000001,5.448,0.4423861893665345,0.24910232111648392
151.0,65690255.0,71932.0,301.0,5.7658000000000005,5.9474,0.3395310550288598,0.2434546082373248
152.0,16928825.0,1335.0,421.0,4.5173000000000005,4.5854,0.2857960077369568,0.24189865955128528
153.0,88216443.0,88916.0,347.0,6.4922,6.605700000000001,0.3157128136925249,0.23963992166093065
154.0,30615184.0,70874.0,397.0,3.1326,3.2915,0.33204793749871647,0.24530098393977776
155.0,86332706.0,23397.0,186.0,3.4958,3.9725,0.36756248371916356,0.24290671964040583
156.0,48714007.0,53441.0,166.0,4.2903,4.3811,0.342503040144585,0.24057932139576657
157.0,18096156.0,79878.0,50.0,5.1302,5.2891,0.3146556747549144,0.24137970961897592
158.0,45870253.0,22213.0,31.0,3.7682,4.0179,0.4266417608933901,0.2493677401000436
159.0,3918810.0,92222.0,117.0,4.54,4.676200000000001,0.3306742521052791,0.23405892322154245
160.0,38241793.0,60055.0,491.0,4.8805000000000005,5.0167,0.341798841641868,0.2407475512131253
161.0,8088349.0,83195.0,173.0,4.0179,4.108700000000001,0.2842699626995106,0.24634356323024756
162.0,83370873.0,51422.0,341.0,4.0179,4.1768,0.400766151506492,0.2493993238974956
163.0,4452527.0,71115.0,344.0,4.1314,4.313000000000001,0.369578069689174,0.24830395613146639
